image_path,label_index,mask_path,anomaly_type,split,central_circular_bore,dull_metallic_gray,light_metallic_gray_tone,uniform_metallic_grey,solid_ring_structure,uniform_matte_texture,uniform_metallic_sheen,machined_metal_sheen,circular_bore_opening,concentric_ring_pattern,metallic_silver_tone,concentric_tool_grooves,slightly_matte_finish,matte_grainy_surface,machined_metal_finish,continuous_wall_thickness,cast_metal_material,surface_irregularity,color_deviation,structural_discontinuity,texture_inconsistency,unexpected_surface_pattern,angular_distortion,asymmetrical_profile,asymmetrical_cross_section,localized_bending_stress,lateral_deflection_bend,structural_warping,angular_misalignment,uneven_edge_bending,pigmentation_abnormality,localized_blue_stain,chemical_staining_deposit,localized_discoloration_patch,localized_reddish_staining,pigmentation_bleed_mark,chemical_deposit_streak,mild_surface_abrasion,geometric_deformation,diagonal_scratch_mark,visible_abrasion_scratches,surface_scratches,dragged_scratch_groove,scratch_abrasion_mark
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/000.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/000_mask.png,color,val,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/001.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/001_mask.png,color,train,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/002.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/002_mask.png,color,train,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/003.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/003_mask.png,color,train,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/004.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/004_mask.png,color,train,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/005.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/005_mask.png,color,test,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/006.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/006_mask.png,color,val,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/007.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/007_mask.png,color,train,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/008.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/008_mask.png,color,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/009.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/009_mask.png,color,train,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/010.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/010_mask.png,color,train,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/011.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/011_mask.png,color,val,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/012.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/012_mask.png,color,train,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/013.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/013_mask.png,color,train,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/014.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/014_mask.png,color,train,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/015.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/015_mask.png,color,train,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/016.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/016_mask.png,color,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/017.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/017_mask.png,color,train,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/018.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/018_mask.png,color,train,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/019.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/019_mask.png,color,train,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/020.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/020_mask.png,color,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/metal_nut/test/color/021.png,1,/home/sobhan_hosseini/datasets/mvtec/metal_nut/ground_truth/color/021_mask.png,color,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
