image_path,label_index,mask_path,anomaly_type,split,semi_matte_sheen,intact_shell_structure,reddish_brown_hue,subtle_radial_striations,uniform_reddish_brown_hue,defined_seam_line,solid_outer_casing,rounded_ovoid_profile,surface_irregularity,color_deviation,structural_discontinuity,texture_inconsistency,unexpected_surface_pattern,linear_shell_fracture,exposed_inner_material,radial_shell_split,visible_linear_crack,jagged_break_edges,rough_fracture_edges,radial_incision_mark,jagged_opening_edge,surface_abrasion_mark,perforation_at_apex,perforation_hole,structural_breach_hole,damaged_shell_edge,apical_breach,perforated_shell_body,structural_material_loss,seam_failure_point,jagged_edge_break,localized_material_loss,white_pigment_deposit,chalky_surface_deposit,apex_pigment_deposit,seam_obfuscation
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/000.png,0,,good,train,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/001.png,0,,good,train,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/002.png,0,,good,train,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/003.png,0,,good,train,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/004.png,0,,good,val,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/005.png,0,,good,train,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/006.png,0,,good,val,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/007.png,0,,good,test,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/008.png,0,,good,train,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/009.png,0,,good,train,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/010.png,0,,good,train,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/011.png,0,,good,val,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/012.png,0,,good,train,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/hazelnut/train/good/013.png,0,,good,train,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
