image_path,label_index,mask_path,anomaly_type,split,smooth_surface_texture,white_numeric_marking,seamless_part_junction,opaque_black_color,cylindrical_body_shape,translucent_amber_color,printed_digit_characters,hemispherical_end_shapes,uniform_surface_texture,elongated_cylindrical_geometry,rounded_end_geometry,lustrous_surface_sheen,rounded_hemispherical_ends,even_surface_texture,rounded_terminal_ends,reflective_surface_sheen,uniform_surface_smoothness,polished_material_finish,glossy_surface_texture,surface_irregularity,color_deviation,structural_discontinuity,texture_inconsistency,unexpected_surface_pattern,linear_shell_fracture,fine_linear_crack,jagged_capsule_edge,smudged_digit_edges,smudged_digit_imprint,fragmented_digit_imprint,localized_surface_pitting,surface_puncture,puncture_indentation,linear_surface_scratch,indented_capsule_end,surface_indentation,deformed_capsule_tip
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/000.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/000_mask.png,faulty_imprint,train,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/001.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/001_mask.png,faulty_imprint,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/002.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/002_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/003.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/003_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/004.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/004_mask.png,faulty_imprint,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/005.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/005_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/006.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/006_mask.png,faulty_imprint,test,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/007.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/007_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/008.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/008_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/009.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/009_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/010.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/010_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/011.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/011_mask.png,faulty_imprint,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/012.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/012_mask.png,faulty_imprint,train,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/013.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/013_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/014.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/014_mask.png,faulty_imprint,train,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/capsule/test/faulty_imprint/015.png,1,/home/sobhan_hosseini/datasets/mvtec/capsule/ground_truth/faulty_imprint/015_mask.png,faulty_imprint,test,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
